UID TELEGRAM ,ETH ADDRESS ,USERNAME 
-,-,-
-,-,-
2145325542,0x00000834CC07Da1Fb81F3C353b7596C87fBbF8D3,ariarmansyah
344622966,0x29884874ad7c9d7738753506174d431b79971fb1,rickyrhp
1161626022,0xdc2a69E72B8a0243Bc371A0Dae35048c11F34c7B,Abyanab
531484393,0xC1474072E67370c7ED1D87e8a5997AaC1B17F9EE,Gkrsnaf
1372769539,0xED7C0BD5390b3e4eb86e2a53456e350bF2514FB0,adityayp_9
1719447400,0x000c53d649dce42e69c27167b72d5e0c65b5d9c1,topangaya
1357676549,0x0770caA825Ae37130643c49901b5D2A606693Ce5,fajarsiddiq21
608028813,0x9a716f9b2907105b5b2ca6083a8147b3f29410ee,subarchan
5526939559,0x922387fBC33eaBafd76CBdC24539E51fAc3106B0,ratufaw
5306534373,0x6075c573b1682CF3A0BC50087E61D36230fF1ECD,alvinalfandy
6200797893,0x70f58bf5e1197ab9cc4613bd293d1b8f1e369b5c,arzyz07
1817171307,0xC2C15eC58dE5D512cb43e496a602949e67054221,Kyakkkk
1568348348,0x85039bde950b8A569BFaC747EcA531028FfE1E9b,hylexaeth
850961516,0xA0Cf5c24A6776228a5525B018cbFD5a82A065fE7,febri555
1854531953,0x7304A74bF8fAc5ca3fE29C8D26c67225232cf4f6,priscow
1679359447,0xd0d192Dfa3413384c7A53fF615DF4600822E39cd,corazonex
1673299954,0x059a89fb0eb10414ba17dabaa2b1e8f2bac88991,zerodimitri
5750911918,0xa5Afcda79f6f64F3065FbcB98c558d22644eCF46,Tripatra
1781526227,0xb573701e2e2b389765c9c2194f93a1eec0ffaeff,tioyudi
5478168485,0xee80b0c19ab5f83a149639b8c87df4d18865dfb9,broccolicraft
5239256700,0x8cc769177F7991dcB3C36AF1F7D64F1E9259b418,valcio1
1189079310,0xCc67D99e35190200ecc0041D33bA02fD00e20386,MieRebus0745
663231934,0x82A79d9aC25879FbF8776eAc600262aDAEfA30cC,ReflianT
991171748,0xDA577BCa91Da0E5FC7a36b27F470333B12D3cd26,skaligof
6127737303,0xF1F5187c7c9d1e81a9c975c641dBd27631134057,asikgile11
1384152208,0xA63F6d361d373F58520F7dd43048C6a56c912f87,allutfiii
1042217956,0x9145025584D498aa83BadEf88F5E7B3A2664bfEF,farizhpratama
1222748178,0x740800F03B6471293b1B39D254cD106A8d62f6b0,Iwanridwan94
6406369268,0xbc9eb81343030e6d4c25fef6f6b1a9691f0a8202,Peli501
5091363311,0x0ba8f6633a71784f05de0d9df378d3662e47e958,Dvinhm
6730072769,0x1036a290Dd1429564FA3A7E430d65087CDFBfe95,Wedspierre93
1800790512,0x9b131fe963d7e91688fd8cd57c6e883c839357d0,vikicoms
297680965,0x7aB15847966AEe8a59c558d9aAb09384b0414BAe,dyastantoo
1161287558,0x9896246a9A8751890E34E0846221Ba79d712376f,LilUzieth
1712647628,0x035dd5668D8A718Af300A93ca72ac5fD63A4E5BB,ChenxiangXyz
1436585331,0xcf1d38433e1e1e835590618af19f8cad3eec8f69,dahlawifauzi
6277668858,0x77779660390977BC7d58593ec6603C4a8805F6cE,Nguyencoyy
